Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1979","1979","1000 SLC","24321021","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1980","1980","1000 SLC","21127693","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1981","1981","1000 SLC","23048087","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1982","1982","1000 SLC","23041827","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1983","1983","1000 SLC","22085218","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1984","1984","1000 SLC","33854749","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1985","1985","1000 SLC","27720603","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1986","1986","1000 SLC","19392025","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1987","1987","1000 SLC","26278819","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1988","1988","1000 SLC","45242309","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1989","1989","1000 SLC","43868461","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1990","1990","1000 SLC","43578395","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1991","1991","1000 SLC","35327067","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1992","1992","1000 SLC","42447745","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1993","1993","1000 SLC","60009603","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1994","1994","1000 SLC","53073803","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1995","1995","1000 SLC","44339285","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1996","1996","1000 SLC","59167799","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1997","1997","1000 SLC","69029607","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1998","1998","1000 SLC","53507224","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1999","1999","1000 SLC","75351687","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2000","2000","1000 SLC","73593730","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2001","2001","1000 SLC","82128560","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2002","2002","1000 SLC","77872824","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2003","2003","1000 SLC","82128560","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2004","2004","1000 SLC","79943442","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2005","2005","1000 SLC","77778781","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2006","2006","1000 SLC","82950212","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2007","2007","1000 SLC","83363633","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2008","2008","1000 SLC","90089516","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2009","2009","1000 SLC","99498821","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2010","2010","1000 SLC","97421027","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2011","2011","1000 SLC","99360199","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2012","2012","1000 SLC","126058393","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2013","2013","1000 SLC","105738460","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2014","2014","1000 SLC","127178051","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2015","2015","1000 SLC","121318246","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2016","2016","1000 SLC","126239456","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2017","2017","1000 SLC","130482521","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2018","2018","1000 SLC","135358847","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2019","2019","1000 SLC","139245129","E","Estimated value"
