Code Domaine,Domaine,Code zone (M49),Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Code Élément,Élément,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","768","Togo","2010","2010","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","93.128501","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2010","2010","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","88.71088","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2010","2010","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","91.573098","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2010","2010","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","92.602219","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2010","2010","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","92.083238","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2010","2010","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","85.849482","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2010","2010","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","86.962439","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2010","2010","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","87.807815","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2010","2010","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","91.636347","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2011","2011","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","94.840296","X","Chiffre de source externe","base year is 2015"
